price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
1.3,3.0,3.0,2,low floor,under construction,dwarka expressway,flat,1120.0,no,no,unfurnished,low
1.6,3.0,3.0,3,mid floor,under construction,sector 99,flat,1600.0,no,no,unfurnished,low
1.5,2.0,2.0,2,high floor,new property,sector 113,flat,1276.0,no,no,unfurnished,semi_luxrious
1.5,2.0,2.0,2,high floor,new property,sector 113,flat,1020.8,no,no,unfurnished,semi_luxrious
0.9,2.0,2.0,0,high floor,relatively new,sector 104,flat,1258.917,no,no,unfurnished,low
1.5,4.0,4.0,3,low floor,old property,sector 52,flat,1312.0,no,no,unfurnished,semi_luxrious
0.8,1.0,1.0,0,groundfloor,relatively new,sector 67,flat,609.989,no,no,unfurnished,low
1.25,3.0,2.0,1,high floor,new property,sector 86,flat,1352.0,no,no,unfurnished,normal
0.26,2.0,2.0,1,low floor,relatively new,sohna road,flat,481.792164,no,no,unfurnished,normal
0.42,2.0,2.0,1,high floor,new property,sohna road,flat,531.0,no,no,unfurnished,normal
2.5,3.0,3.0,2,low floor,new property,sector 43,flat,1548.0,no,no,unfurnished,low
0.9,3.0,3.0,2,low floor,moderately old,sector 78,flat,1950.0,yes,yes,unfurnished,semi_luxrious
0.42,2.0,2.0,1,low floor,relatively new,sector 92,flat,591.0,no,yes,semifurnished,normal
0.5,2.0,2.0,1,high floor,relatively new,sector 107,flat,436.8,no,no,unfurnished,normal
0.9,2.0,2.0,3,mid floor,relatively new,sector 79,flat,1400.0,no,no,unfurnished,normal
1.3,3.0,3.0,3+,low floor,new property,sector 89,flat,1910.0,yes,no,unfurnished,normal
1.7,3.0,3.0,3,high floor,under construction,sector 33,flat,1431.2,no,no,unfurnished,low
1.25,4.0,3.0,0,high floor,relatively new,sector 92,flat,2016.129,no,no,unfurnished,normal
2.91,4.0,4.0,3,mid floor,under construction,sector 82,flat,3480.0,yes,no,semifurnished,semi_luxrious
1.15,3.0,4.0,2,low floor,old property,sector 12,flat,1750.0,yes,no,semifurnished,low
1.2,3.0,3.0,3,low floor,new property,sector 89,flat,958.0,no,yes,unfurnished,luxrious
1.5,2.0,2.0,3,high floor,new property,sohna road,flat,1225.0,no,no,unfurnished,normal
1.3,3.0,3.0,3+,mid floor,relatively new,sohna road,flat,1290.0,no,no,unfurnished,normal
1.75,3.0,3.0,3,low floor,relatively new,sector 104,flat,1351.2,no,no,unfurnished,normal
0.55,2.0,2.0,1,low floor,relatively new,sector 3,flat,700.0,no,no,semifurnished,semi_luxrious
2.5,3.0,3.0,3,high floor,relatively new,sector 65,flat,1462.4,no,no,unfurnished,normal
0.8,3.0,2.0,3,mid floor,moderately old,sector 2,flat,1080.0,no,no,unfurnished,low
0.7,2.0,2.0,1,mid floor,moderately old,sector 108,flat,1150.0,no,no,unfurnished,low
1.95,4.0,3.0,3,mid floor,relatively new,sector 37,flat,1350.0,no,no,unfurnished,normal
0.45,2.0,2.0,1,low floor,new property,sector 90,flat,626.0,no,no,semifurnished,normal
1.7,3.0,2.0,3,mid floor,relatively new,sector 79,flat,1099.0,no,no,unfurnished,low
1.1,3.0,2.0,3,mid floor,old property,sector 9,flat,1800.0,no,no,unfurnished,normal
0.5,2.0,2.0,1,mid floor,relatively new,sector 86,flat,520.0,no,no,unfurnished,low
2.8,3.0,3.0,3,high floor,relatively new,sector 65,flat,1462.4,no,no,unfurnished,semi_luxrious
1.45,3.0,2.0,3+,high floor,under construction,sector 33,flat,86.0,no,no,unfurnished,luxrious
2.2,3.0,3.0,2,low floor,new property,sector 61,flat,1630.0,no,no,unfurnished,low
