society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
hcbs sports ville,0.24,7407.0,1.0,1.0,2,not avilable,1.0,North,New Property,sohna road,324.018,flat,,,324.0,0,0,0,0,0,2,68,324.0
emaar palm premier,2.1,10500.0,3.0,4.0,3+,servant room,11.0,,New Property,sector 77,2000.0,flat,2000.0,,1500.0,0,1,0,0,0,0,129,667.0
godrej nature plus,1.9,9849.0,3.0,3.0,3+,servant room,14.0,,New Property,sector 33,1929.13,flat,,,1929.0,0,1,0,0,0,2,96,643.0
ramsons kshitij,0.32,4500.0,2.0,2.0,1,others,8.0,,Relatively New,sector 95,711.111,flat,700.0,,443.365041,0,0,0,0,1,1,28,356.0
conscient one,1.7,17617.0,1.0,1.0,2,not avilable,9.0,,Undefined,sector 109,964.977,flat,,,628.0,0,0,0,0,0,2,0,965.0
pareena laxmi apartments,0.32,6106.0,2.0,2.0,2,not avilable,2.0,,New Property,sector 99a,524.075,flat,524.0,,424.851133,0,0,0,0,0,2,50,262.0
pyramid elite,0.45,7739.0,2.0,2.0,1,not avilable,4.0,,Undefined,sector 86,581.47,flat,,,581.3582389999999,0,0,0,0,0,2,66,291.0
raheja revanta,1.2,10018.0,1.0,2.0,2,not avilable,32.0,,Under Construction,sector 78,1197.844,flat,1197.806792,,505.0,0,0,0,0,0,2,39,1198.0
m3m skycity,2.1,16030.0,2.0,2.0,2,not avilable,43.0,,New Property,sector 65,1310.044,flat,1310.0,,,0,0,0,0,0,2,127,655.0
not applicable,0.42,5600.0,2.0,2.0,1,not avilable,3.0,,Relatively New,sector 4,750.0,flat,,,750.0,0,0,0,0,0,0,26,375.0
godrej nature plus,1.55,9955.0,3.0,2.0,3+,not avilable,8.0,East,New Property,sector 33,1557.007,flat,,,1557.0,0,0,0,0,0,2,43,519.0
ramprastha city,1.3,9027.0,3.0,3.0,2,not avilable,3.0,,Under Construction,dwarka expressway,1440.124,flat,1440.0,,,0,0,0,0,0,2,0,480.0
smartworld 1dxp,2.75,10589.0,4.0,4.0,3+,"pooja room,study room,servant room",20.0,East,Undefined,sector 113,2597.035,flat,,,2597.0,1,1,0,1,0,1,57,649.0
ansal housing highland park,1.25,6443.0,3.0,3.0,3+,pooja room,2.0,North-East,New Property,sector 103,1940.09,flat,1940.0,,1056.0,0,0,0,1,0,2,105,647.0
czar mahira homes 63a,0.42,7407.0,3.0,2.0,2,not avilable,1.0,,Undefined,sector 63a,567.031,flat,,,567.0,0,0,0,0,0,2,0,189.0
breez global heights,0.4,6420.0,2.0,2.0,1,not avilable,4.0,North-East,New Property,sohna road,623.053,flat,623.0,,599.0,0,0,0,0,0,2,49,312.0
trisara our homes 3,0.34,5405.0,2.0,2.0,1,not avilable,0.0,,New Property,sohna road,629.047,flat,,,629.0,0,0,0,0,0,2,0,315.0
m3m soulitude,1.25,8784.0,3.0,3.0,3,"study room,others",3.0,East,New Property,sector 89,1423.042,flat,1423.0,,,1,0,0,0,1,2,61,474.0
emaar mgf palm hills,1.5,12744.0,3.0,3.0,3,not avilable,4.0,North-East,Relatively New,sector 77,1177.024,flat,1450.0,,1177.0,0,0,0,0,0,0,97,392.0
ramprastha city,1.3,9285.0,3.0,3.0,2,not avilable,3.0,,Under Construction,dwarka expressway,1400.108,flat,1400.0,,,0,0,0,0,0,2,0,467.0
pareena coban residences,1.6,8000.0,3.0,3.0,3,not avilable,6.0,,Under Construction,sector 99a,2000.0,flat,2000.0,,,0,0,0,0,0,2,0,667.0
la vida by tata housing,1.5,11755.0,2.0,2.0,2,not avilable,13.0,,New Property,sector 113,1276.053,flat,,,1276.0,0,0,0,0,0,2,71,638.0
la vida by tata housing,1.5,11755.0,2.0,2.0,2,not avilable,13.0,,New Property,sector 113,1276.053,flat,1276.0,,,0,0,0,0,0,2,60,638.0
godrej summit premia towers,0.9,7149.0,2.0,2.0,0,not avilable,16.0,,Undefined,sector 104,1258.917,flat,,,,0,0,0,0,0,2,0,629.0
ardee city,1.5,9146.0,4.0,4.0,3,not avilable,3.0,,Old Property,sector 52,1640.061,flat,1640.0,,,0,0,0,0,0,2,65,410.0
m3m one key resiments,0.8,13115.0,1.0,1.0,0,not avilable,0.0,,Undefined,sector 67,609.989,flat,,,,0,0,0,0,0,2,0,610.0
ansal heights 86,1.25,7396.0,3.0,2.0,1,not avilable,11.0,,New Property,sector 86,1690.103,flat,1690.0,,,0,0,0,0,0,2,45,563.0
mvn athens,0.26,5397.0,2.0,2.0,1,not avilable,2.0,,Relatively New,sohna road,481.749,flat,,,481.792164,0,0,0,0,0,2,37,241.0
signature the serenas,0.42,7909.0,2.0,2.0,1,not avilable,12.0,,New Property,sohna road,531.041,flat,,,531.0,0,0,0,0,0,2,54,266.0
sushant lok 1 builder floors,2.5,12920.0,3.0,3.0,2,not avilable,2.0,,New Property,sector 43,1934.985,flat,1935.0,,,0,0,0,0,0,2,0,645.0
umang monsoon breeze,0.9,4615.0,3.0,3.0,2,"pooja room,servant room",1.0,,Moderately Old,sector 78,1950.163,flat,1950.0,,1854.0,0,1,0,1,0,2,65,650.0
gls avenue 51,0.42,7106.0,2.0,2.0,1,"pooja room,study room",4.0,East,Relatively New,sector 92,591.05,flat,,,591.0,1,0,0,1,0,0,42,296.0
