price,bedRoom,bathroom,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_type,agePossession,sector,type,luxury,balcony
0.45,4.0,2.0,538.0,0,0,0,0,0,2,3.0,3.0,61.0,1.0,0.0,0.0
1.78,4.0,4.0,1650.0,0,0,0,0,0,2,1.0,3.0,175.0,0.0,3.0,4.0
15.1,5.0,5.0,8115.0,1,1,1,1,0,2,3.0,1.0,145.0,1.0,3.0,4.0
0.51,3.0,2.0,1000.0,0,0,0,0,0,2,3.0,3.0,177.0,0.0,2.0,1.0
6.25,5.0,5.0,1797.0,0,1,0,1,0,0,3.0,0.0,95.0,1.0,3.0,3.0
3.55,5.0,4.0,1453.0,0,1,0,0,0,0,3.0,0.0,122.0,1.0,2.0,4.0
9.25,5.0,5.0,620.0,1,1,1,1,0,0,3.0,3.0,135.0,1.0,3.0,4.0
1.44,4.0,2.0,4842.0,0,0,0,0,0,2,3.0,2.0,94.0,1.0,0.0,1.0
0.65,2.0,2.0,650.0,0,0,0,0,0,2,0.0,1.0,111.0,0.0,1.0,3.0
0.95,3.0,3.0,1457.6,0,0,0,0,1,2,3.0,3.0,71.0,0.0,2.0,3.0
2.1,4.0,3.0,2507.08,0,0,0,0,0,2,3.0,3.0,51.0,1.0,0.0,2.0
4.6,3.0,3.0,2500.0,1,1,1,1,0,0,2.0,3.0,145.0,0.0,3.0,3.0
1.75,4.0,4.0,1891.2,0,1,0,1,0,2,1.0,3.0,176.0,0.0,2.0,4.0
1.15,2.0,2.0,1184.8,1,0,0,0,0,0,1.0,3.0,65.0,0.0,3.0,3.0
3.45,4.0,4.0,2080.0,1,1,0,0,0,0,2.0,1.0,78.0,0.0,3.0,3.0
6.5,5.0,6.0,3002.04,0,0,0,0,0,2,3.0,0.0,127.0,1.0,0.0,2.0
0.22,1.0,1.0,465.0,0,0,0,0,0,2,3.0,3.0,91.0,0.0,0.0,0.0
1.1,3.0,3.0,1650.0,0,0,0,0,0,2,3.0,0.0,73.0,0.0,0.0,3.0
1.1,6.0,4.0,900.0,0,0,0,0,0,2,3.0,0.0,68.0,1.0,0.0,0.0
1.8,4.0,5.0,2356.44,0,0,0,0,0,2,2.0,3.0,177.0,1.0,0.0,2.0
1.95,3.0,4.0,2063.2000000000003,1,1,0,0,0,0,1.0,3.0,64.0,0.0,2.0,3.0
2.9,4.0,4.0,1975.0,0,0,1,0,0,2,0.0,3.0,144.0,0.0,1.0,2.0
0.55,2.0,2.0,715.0,0,0,0,0,0,2,3.0,0.0,99.0,1.0,0.0,0.0
1.69,3.0,3.0,1650.0,0,1,0,0,0,2,1.0,1.0,152.0,0.0,3.0,4.0
0.75,2.0,2.0,1050.0,0,0,0,0,0,0,1.0,3.0,158.0,0.0,3.0,1.0
2.65,3.0,4.0,1950.0,0,1,0,0,0,0,1.0,3.0,76.0,0.0,3.0,1.0
6.5,4.0,5.0,2352.0,0,1,0,0,0,2,1.0,3.0,120.0,0.0,0.0,1.0
3.3,4.0,3.0,1668.0,1,1,1,1,0,2,3.0,0.0,135.0,1.0,3.0,4.0
0.6,3.0,2.0,1200.0,0,0,0,0,0,0,3.0,0.0,177.0,0.0,1.0,3.0
1.1,2.0,2.0,1200.0,1,0,0,0,0,2,1.0,1.0,181.0,0.0,2.0,3.0
1.28,3.0,3.0,1784.0,0,1,0,1,0,0,3.0,0.0,164.0,0.0,1.0,3.0
6.75,12.0,12.0,2110.0,0,0,0,0,1,2,3.0,0.0,125.0,1.0,1.0,4.0
0.3,2.0,2.0,621.0,0,0,0,0,0,2,3.0,3.0,190.0,0.0,0.0,1.0
