building type_1 BHK,area low 1 BHK,area high 1 BHK,price low 1 BHK,price high 1 BHK,building type_2 BHK,area low 2 BHK,area high 2 BHK,price low 2 BHK,price high 2 BHK,building type_3 BHK,area low 3 BHK,area high 3 BHK,price low 3 BHK,price high 3 BHK,building type_4 BHK,area low 4 BHK,area high 4 BHK,price low 4 BHK,price high 4 BHK,building type_5 BHK,area low 5 BHK,area high 5 BHK,price low 5 BHK,price high 5 BHK,building type_6 BHK,area low 6 BHK,area high 6 BHK,price low 6 BHK,price high 6 BHK,building type_1 RK,area low 1 RK,area high 1 RK,price low 1 RK,price high 1 RK,building type_Land,area low Land,area high Land,price low Land,price high Land
,,,,,Apartment,1605.0,1650.0,1.15,1.18,Apartment,1920.0,3155.0,1.38,2.26,Apartment,2465.0,3695.0,1.77,2.65,,,,,,,,,,,,,,,,,,,,
Service Apartment,569.95,639.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studio Apartment,438.63,1607.0,,,,,,,
,,,,,Apartment,1250.0,1450.0,2.0,2.32,Apartment,1828.0,2004.0,2.92,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,912.56,1444.0,1.18,1.87,Apartment,1255.29,2078.0,2.02,3.34,Apartment,1571.85,2650.0,2.34,3.95,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1116.0,1116.0,,,Independent Floor,1474.66,1474.66,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Independent Floor,2430.0,4520.84,6.0,11.16,Independent Floor,5760.0,5760.0,,,,,,,,,,,,,,538.2,538.2,,
,,,,,Apartment,1345.0,1915.0,0.9540000000000001,1.36,Apartment,1720.0,2199.0,1.22,1.58,Apartment,2696.0,2764.0,1.91,1.96,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1093.0,2515.0,0.98,2.25,Independent Floor,1230.0,2559.0,1.1,2.29,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1350.0,,
,,,,,Apartment,1250.0,1737.0,0.875,1.22,Apartment,1790.0,2000.0,1.04,1.18,Apartment,1979.0,5100.0,1.5,3.88,Apartment,2616.0,2894.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.0,3600.0,3.31,5.3
,,,,,,,,,,Apartment,1790.0,1790.0,,,Apartment,2350.0,2635.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,3868.0,3979.0,6.77,6.96,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1166.81,1167.88,,,Apartment,1291.67,1492.95,1.69,1.95,Apartment,1614.0,1614.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.0,3240.0,4.2,6.3
,,,,,,,,,,,,,,,Apartment,3500.0,3500.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1438.0,1527.0,91.61,0.9729000000000001,Apartment,1693.0,1967.0,1.24,1.71,Apartment,2215.0,2215.0,1.59,1.93,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,2575.0,2750.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2750.0,3815.0,2.15,2.99,Apartment,3200.0,5975.0,2.51,4.68,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2600.0,2650.0,2.05,2.09,Apartment,5140.0,5140.0,,,Apartment,2902.27,2902.27,,,,,,,,,,,,,,,,,
Apartment,837.0,1272.0,,,Independent Floor,1620.0,1620.0,,,Independent Floor,1737.0,1737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Apartment,683.0,1472.0,6.49,13.99,Service Apartment,1406.0,1683.0,13.36,16.0,Service Apartment,1473.0,1473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.0,1575.0,0.99,1.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,1611.0,0.9001,1.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.89,1506.95,1.17,1.6
,,,,,,,,,,Apartment,1745.0,2095.0,1.5,1.98,Apartment,3045.0,3045.0,2.0,2.59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,5000.0,6000.0,7.0,8.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1000.0,1205.0,1.0,1.21,Apartment,1408.0,1408.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.0,1197.0,1.34,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,3852.0,2.7,5.78
,,,,,,,,,,Villa,3000.0,3000.0,,,Villa,4000.0,4750.0,7.5,12.0,Villa,6150.0,7650.0,16.5,22.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.0,6030.0,1.92,4.26
,,,,,,,,,,Apartment,1450.0,2025.0,1.2,1.69,Apartment,1950.0,1950.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1062.82,1122.69,,,Apartment,1580.86,2252.84,1.66,2.37,Apartment,2081.85,2336.11,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1535.0,1615.0,0.9505,1.0,Apartment,1535.0,2384.0,0.9505,1.48,Apartment,2057.0,3030.0,1.27,1.88,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1230.34,1435.0,84.0,0.85,Apartment,1733.4,1981.11,1.05,1.22,Apartment,2390.0,2408.23,1.35,1.55,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,514.27,569.24,30.84,0.3414,Apartment,627.0,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1091.67,1091.67,,,Independent Floor,1725.0,1725.0,,,Independent Floor,1800.0,1800.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,1611.0,2.0,2.24
,,,,,,,,,,Apartment,1720.0,1950.0,1.36,1.54,,,,,,Apartment,3750.0,3750.0,,,,,,,,,,,,,,,,,
